,Classical,Electronic,Folk,Hip-Hop,International,Jazz,Old-Time / Historic,Pop,Rock,class.error,
Classical,32,1,0,0,0,0,3,0,1,0.135135135,
Electronic,0,268,3,22,2,9,2,6,26,0.207100592,
Folk,1,12,103,1,1,6,1,0,12,0.248175182,
Hip-Hop,0,7,1,113,0,1,1,1,0,0.088709677,
International,1,0,0,0,9,0,0,0,2,0.25,
Jazz,0,0,1,0,0,16,0,0,0,0.058823529,
Old-Time / Historic,1,0,1,0,0,0,51,0,0,0.037735849,
Pop,0,0,2,0,0,0,0,21,6,0.275862069,
Rock,2,47,22,13,5,8,0,20,514,0.185419968,
,,,,,,,,,,,
,,,,,,,,,,,1127
,,,,,,,,,,,1378
,,,,,,,,,,,0.817851959
