,V1,V2,V3,V4
8,audio_features.energy,0,0,Echonest
7,audio_features.danceability,5.93E-303,2.98E-300,Echonest
6,audio_features.acousticness,3.48E-292,1.75E-289,Echonest
11,audio_features.speechiness,2.44E-164,1.23E-161,Echonest
9,audio_features.instrumentalness,2.46E-152,1.24E-149,Echonest
10,audio_features.liveness,1.11E-110,5.57E-108,Echonest
13,audio_features.valence,4.69E-99,2.36E-96,Echonest
2,social_features.artist_familiarity,3.02E-91,1.52E-88,Echonest
12,audio_features.tempo,2.57E-68,1.29E-65,Echonest
1,social_features.artist_discovery,4.54E-51,2.28E-48,Echonest
3,social_features.artist_hotttnesss,2.91E-36,1.46E-33,Echonest
5,social_features.song_hotttnesss,1.07E-15,5.38E-13,Echonest
4,social_features.song_currency,0.909199549,1,Echonest
286,mfcc.max.01,0,0,LibROSA
288,mfcc.max.03,0,0,LibROSA
289,mfcc.max.04,0,0,LibROSA
291,mfcc.max.06,0,0,LibROSA
306,mfcc.mean.01,0,0,LibROSA
309,mfcc.mean.04,0,0,LibROSA
311,mfcc.mean.06,0,0,LibROSA
312,mfcc.mean.07,0,0,LibROSA
313,mfcc.mean.08,0,0,LibROSA
314,mfcc.mean.09,0,0,LibROSA
315,mfcc.mean.10,0,0,LibROSA
317,mfcc.mean.12,0,0,LibROSA
326,mfcc.median.01,0,0,LibROSA
329,mfcc.median.04,0,0,LibROSA
331,mfcc.median.06,0,0,LibROSA
332,mfcc.median.07,0,0,LibROSA
333,mfcc.median.08,0,0,LibROSA
334,mfcc.median.09,0,0,LibROSA
335,mfcc.median.10,0,0,LibROSA
337,mfcc.median.12,0,0,LibROSA
440,spectralcontrast.max.07,0,0,LibROSA
442,spectralcontrast.mean.02,0,0,LibROSA
444,spectralcontrast.mean.04,0,0,LibROSA
445,spectralcontrast.mean.05,0,0,LibROSA
451,spectralcontrast.median.04,0,0,LibROSA
452,spectralcontrast.median.05,0,0,LibROSA
481,spectralrolloff.skew.01,0,0,LibROSA
450,spectralcontrast.median.03,6.67808089307417e-310,3.36E-307,LibROSA
209,chromastft.mean.04,6.79E-301,3.41E-298,LibROSA
328,mfcc.median.03,7.27E-300,3.66E-297,LibROSA
443,spectralcontrast.mean.03,2.13E-297,1.07E-294,LibROSA
222,chromastft.median.05,7.71E-296,3.88E-293,LibROSA
221,chromastft.median.04,4.39E-294,2.21E-291,LibROSA
210,chromastft.mean.05,4.03E-293,2.03E-290,LibROSA
418,spectralbandwidth.skew.01,8.65E-291,4.35E-288,LibROSA
207,chromastft.mean.02,5.16E-289,2.59E-286,LibROSA
213,chromastft.mean.08,6.54E-289,3.29E-286,LibROSA
224,chromastft.median.07,4.43E-283,2.23E-280,LibROSA
425,spectralcentroid.skew.01,8.73E-283,4.39E-280,LibROSA
316,mfcc.mean.11,2.18E-278,1.10E-275,LibROSA
223,chromastft.median.06,7.73E-278,3.89E-275,LibROSA
225,chromastft.median.08,3.24E-274,1.63E-271,LibROSA
339,mfcc.median.14,1.18E-273,5.92E-271,LibROSA
228,chromastft.median.11,2.39E-272,1.20E-269,LibROSA
220,chromastft.median.03,1.14E-271,5.73E-269,LibROSA
447,spectralcontrast.mean.07,1.77E-270,8.91E-268,LibROSA
454,spectralcontrast.median.07,2.21E-270,1.11E-267,LibROSA
219,chromastft.median.02,8.25E-266,4.15E-263,LibROSA
214,chromastft.mean.09,1.49E-264,7.51E-262,LibROSA
226,chromastft.median.09,6.57E-262,3.31E-259,LibROSA
295,mfcc.max.10,6.01E-259,3.02E-256,LibROSA
482,spectralrolloff.std.01,1.03E-256,5.17E-254,LibROSA
246,chromastft.skew.05,3.72E-253,1.87E-250,LibROSA
227,chromastft.median.10,7.70E-253,3.87E-250,LibROSA
218,chromastft.median.01,8.49E-252,4.27E-249,LibROSA
336,mfcc.median.11,3.36E-251,1.69E-248,LibROSA
229,chromastft.median.12,7.96E-248,4.00E-245,LibROSA
464,spectralcontrast.skew.03,2.14E-246,1.08E-243,LibROSA
319,mfcc.mean.14,9.21E-246,4.63E-243,LibROSA
215,chromastft.mean.10,1.88E-243,9.45E-241,LibROSA
206,chromastft.mean.01,4.66E-243,2.34E-240,LibROSA
391,mfcc.std.06,4.74E-240,2.38E-237,LibROSA
217,chromastft.mean.12,2.31E-235,1.16E-232,LibROSA
208,chromastft.mean.03,3.92E-232,1.97E-229,LibROSA
426,spectralcentroid.std.01,5.31E-231,2.67E-228,LibROSA
393,mfcc.std.08,8.00E-229,4.02E-226,LibROSA
293,mfcc.max.08,1.93E-224,9.71E-222,LibROSA
415,spectralbandwidth.mean.01,1.08E-222,5.45E-220,LibROSA
463,spectralcontrast.skew.02,9.17E-222,4.61E-219,LibROSA
394,mfcc.std.09,5.47E-220,2.75E-217,LibROSA
420,spectralcentroid.kurtosis.01,1.29E-217,6.50E-215,LibROSA
216,chromastft.mean.11,1.50E-214,7.54E-212,LibROSA
412,rmse.std.01,4.43E-207,2.23E-204,LibROSA
299,mfcc.max.14,3.06E-206,1.54E-203,LibROSA
389,mfcc.std.04,8.58E-204,4.32E-201,LibROSA
416,spectralbandwidth.median.01,2.08E-202,1.05E-199,LibROSA
523,tonnetz.std.05,4.02E-199,2.02E-196,LibROSA
458,spectralcontrast.min.04,3.98E-198,2.00E-195,LibROSA
