,Classical,Electronic,Folk,Hip-Hop,International,Jazz,Old-Time / Historic,Pop,Rock,class.error,,
Classical,32,1,0,0,0,1,2,0,1,0.135135135,,
Electronic,0,274,4,24,2,8,1,5,30,0.212643678,,
Folk,2,9,102,1,1,3,1,0,9,0.203125,,
Hip-Hop,0,6,0,109,0,1,0,0,1,0.068376068,,
International,0,0,0,0,8,0,0,0,1,0.111111111,,
Jazz,0,0,1,1,0,15,0,0,0,0.117647059,,
Old-Time / Historic,1,0,1,0,0,0,53,0,0,0.036363636,,
Pop,0,0,2,0,0,0,0,24,6,0.25,,1130
Rock,2,45,23,14,6,12,1,19,513,0.192125984,,1378
,,,,,,,,,,,,0.820029028
