XGBoost,,,,,,,,,,,
,,Classical,Electronic,Folk,Hip-Hop,International,Jazz,Old-Time / Historic,Pop,Rock,Accuracy
,Classical,32,1,1,0,0,1,0,0,0,91%
,Electronic,0,239,6,18,1,5,0,5,32,78%
,Folk,1,7,88,1,1,3,2,2,9,77%
,Hip-Hop,0,16,2,120,0,0,0,0,4,85%
,International,0,0,1,0,9,0,0,0,0,90%
,Jazz,0,1,0,0,0,25,0,0,0,96%
,Old-Time / Historic,2,0,1,0,1,0,46,0,0,92%
,Pop,0,0,0,0,0,0,0,23,2,92%
,Rock,1,42,20,12,7,12,0,16,560,84%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,1142,,
,,,,,,,,,1378,,
,,,,,,,,,0.8287373,,
