,Classical,Electronic,Folk,Hip-Hop,International,Jazz,Old-Time / Historic,Pop,Rock,class.error
Classical,30,3,2,1,0,1,0,0,0,0.189189189
Electronic,1,234,7,34,5,9,0,9,37,0.303571429
Folk,4,5,71,1,0,5,1,1,11,0.282828283
Hip-Hop,0,17,2,102,1,0,0,0,3,0.184
International,0,0,0,0,4,1,0,0,0,0.2
Jazz,0,1,2,0,0,14,0,0,0,0.176470588
Old-Time / Historic,0,0,1,0,0,0,47,0,0,0.020833333
Pop,0,0,0,0,0,0,0,13,3,0.1875
Rock,1,46,34,13,9,16,0,23,553,0.204316547
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,1068,
,,,,,,,,,1378,
,,,,,,,,,0.775036284,
