"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","MeanDecreaseAccuracy","MeanDecreaseGini"
"audio_features.acousticness",0.24593673585167,0.089287280623036,0.0424080635864935,0.124008633079413,0.258135479630508,0.192875976924414,0.485827172983213,0.0677470529239238,0.0600729708355031,0.17365942922517,197.172247460414
"audio_features.danceability",0.110025806450385,0.0578102792515395,0.0199672593352525,0.0535918397320468,0.143708056605018,0.130096044026881,0.0174865707635462,0.0492612549244632,0.0381979936304737,0.0689621509109281,92.3630543465896
"audio_features.energy",0.270853479036998,0.0568851503102588,0.056186826363452,0.0608481935649539,0.201541948350915,0.161237357594957,0.0902219511691021,0.0463842970868459,0.106253024329705,0.116531728531106,138.55382222667
"audio_features.instrumentalness",0.0278737730205529,0.0307515198947958,0.0101354943327158,0.103383986727183,0.11604232491229,0.0796741346670658,0.0243884719780188,0.0385510591933912,0.00780546270007492,0.0487001729103225,88.5610543697627
"audio_features.liveness",0.0638330091655993,0.00130247061585009,0.0245783987939687,0.000570685721353206,0.11379734522361,0.0738935192529515,0.184828938395072,0.00832902869493115,0.0013096251342537,0.0522703025414755,85.1953007871721
"audio_features.speechiness",0.0412866587727008,0.0272785983597382,0.0763092606343098,0.193083544787332,0.142830403300364,0.101442605833182,0.0145680716286457,0.0427310291185289,0.0229193547316128,0.0735250340429219,113.729315799787
"audio_features.tempo",0.00534267260879813,0.00699529956824746,0.00102769338543108,0.00634702828937707,0.0551061437746884,0.0416269602682225,0.0003654332679347,0.00822600817464992,0.0052686168782574,0.0145459527676653,54.6243863652706
"audio_features.valence",0.0667942957806853,-0.00100493880859071,0.0220828556347065,0.0465499304113054,0.21879804643696,0.127547267612715,0.0394623373087323,0.0165481630700515,0.00665431716115697,0.0603550309878417,88.8233199094567
"social_features.artist_discovery",0.0417085495480678,0.0086451737068074,0.0559024982615626,0.0206928056007549,0.109095720213901,0.108699461974952,0.019581111193425,0.0363372613761645,0.0156383578519023,0.0462574012959891,73.4102090457128
"social_features.artist_familiarity",0.0864024704989839,0.0119894930832549,0.0732866911939823,0.0297931225170079,0.137464486594797,0.138540801518476,0.0232510454298299,0.0484167143642289,0.0282199313101626,0.0640554773625236,88.3622772126251
"social_features.artist_hotttnesss",0.0426967461353028,0.00575626934700943,0.0504160087604624,0.0208821068382703,0.103144485765417,0.111528109363656,0.0210912507158925,0.0364870729686594,0.016076712509955,0.0452799286960571,74.9196285442631
"social_features.song_currency",0.00298383936981747,-0.000212320719878263,0.00165843895824953,0.00260896601798737,0.0203407835874433,0.00830146626898014,0.00025673611196723,0.00534717570519032,0.00175187449310064,0.00477271783771725,19.3142003230472
"social_features.song_hotttnesss",0.0102854892158116,0.000789556429762177,0.00121128794852349,0.00415513469907982,0.0197497274806283,0.0169601429433326,-0.00139125154047772,0.00565393588939493,0.00192340272208851,0.00659256886086259,21.8224479242915
"album.tracks",0.0463493237303008,0.0075012592121044,0.0223326955389267,0.0383046003640197,0.134179089360689,0.0777642731242313,0.0229746075433248,0.0358767166379759,0.0101879596894171,0.0439289201725598,76.5378926166649
"album.type",0.0475663158735663,0.0212087913922997,0.0123550886748159,0.0329950717198568,0.150013819796997,0.0368475894347483,0.0282806558758056,0.0350467462407045,0.0125623136910715,0.0418046462839014,40.6691769060837
"artist.latitude",0.0323225179562776,0.00980993821450496,0.0128872661496571,0.010441491884471,0.0657301148156923,0.0587617941421945,0.0418334428630273,0.0253315263129945,0.0178205558263558,0.0306048672857372,53.8094234025587
"artist.longitude",0.0401092604196572,0.00956689641090521,0.0183736564245795,0.019034822342732,0.0607497532233952,0.0954483097020238,0.036349658442569,0.0254317656007636,0.0196717427984294,0.0360700888655516,61.0949674060822
"track.duration",0.0445271053298508,0.00689385951062618,0.0149615793109353,0.0304256996409864,0.132779350611039,0.110476471953586,0.0799632274400545,0.0276650448478361,0.0111658477812618,0.0509167556502992,86.1184752314481
